,date,total_distance,duration,avg_pace,start_time,end_time
102,2020-09-09,5920.9323572281255,1644.0,4.633333333333334,2020-09-09 08:49:38+00:00,2020-09-09 09:19:00+00:00
103,2020-09-13,3767.456952805603,1116.0,4.933333333333334,2020-09-13 07:35:57+00:00,2020-09-13 08:00:12+00:00
104,2020-09-14,5732.47100906527,1509.0,4.383333333333334,2020-09-14 11:56:38+00:00,2020-09-14 12:25:17+00:00
105,2020-09-20,5775.371946336292,1549.0,4.466666666666667,2020-09-20 10:29:46+00:00,2020-09-20 10:59:27+00:00
106,2020-09-25,6352.078357743619,1695.0,4.45,2020-09-25 08:32:32+00:00,2020-09-25 09:10:59+00:00
107,2020-09-28,5335.53141098846,1529.0,4.783333333333333,2020-09-28 09:19:00+00:00,2020-09-28 09:50:32+00:00
108,2020-10-02,6096.298470468911,3998.0,10.933333333333334,2020-10-02 10:37:05+00:00,2020-10-02 11:47:59+00:00
109,2020-10-04,7731.530980188217,4405.0,9.5,2020-10-04 09:03:12+00:00,2020-10-04 10:58:51+00:00
110,2020-10-05,5790.141434860078,1604.0,4.616666666666666,2020-10-05 11:47:20+00:00,2020-10-05 12:17:58+00:00
111,2020-10-12,4659.077564863223,1364.0,4.883333333333334,2020-10-12 10:36:55+00:00,2020-10-12 11:01:55+00:00
112,2020-10-14,5843.063204939427,1612.0,4.6,2020-10-14 11:29:39+00:00,2020-10-14 11:59:55+00:00
113,2020-10-18,6047.279620805031,1662.0,4.583333333333333,2020-10-18 11:42:24+00:00,2020-10-18 12:13:42+00:00
114,2020-10-21,6000.806003634252,1595.0,4.433333333333334,2020-10-21 10:49:26+00:00,2020-10-21 11:20:32+00:00
115,2020-11-01,5550.620622698872,1506.0,4.516666666666667,2020-11-01 10:58:50+00:00,2020-11-01 11:26:37+00:00
116,2020-11-04,5825.060571573787,1573.0,4.5,2020-11-04 08:13:17+00:00,2020-11-04 08:46:07+00:00
117,2020-11-11,5833.727597172679,1516.0,4.333333333333333,2020-11-11 11:32:33+00:00,2020-11-11 12:01:11+00:00
